0,0,0,0
0,0,0,0
150000,0,50000,0
0,0,0,0
300000,0,50000,0
0,0,0,0
200000,0,50000,0
0,0,0,0
250000,1250000,50000,0
350000,0,50000,250000
0,0,0,0
350000,0,25000,0
0,0,75000,0
250000,1250000,0,0
200000,0,0,0
0,0,0,0
300000,0,25000,0
150000,0,75000,0
0,0,0,0
0,0,50000,250000
0,1250000,0,0
300000,0,0,0
0,0,0,0
350000,0,50000,0
0,0,25000,0
200000,0,50000,0
250000,0,0,0
150000,0,0,0
0,0,75000,250000
0,0,50000,0
350000,0,0,0
200000,1250000,0,0
250000,0,0,0
0,0,25000,0
0,0,25000,250000
0,0,0,0
150000,0,75000,0
300000,0,0,0
0,0,50000,0
0,0,75000,0
